state,city,locality,area_sqft,bedrooms,bathrooms,parking,property_age_years,property_type,furnishing,floor_no,total_floors,price_inr
Haryana,Faridabad,Greenfield Colony,1307,2,1,1,5,Independent House,Unfurnished,21,22,6519000.0
Gujarat,Ahmedabad,Navrangpura,2091,3,3,1,12,Apartment,Semi-Furnished,13,14,19384000.0
Kerala,Kochi,Marine Drive,1008,3,3,0,12,Apartment,Furnished,6,8,11157000.0
Kerala,Kochi,Marine Drive,2344,4,3,1,2,Apartment,Unfurnished,19,20,25887000.0
Mizoram,Aizawl,Dawrpui,2608,2,2,1,5,Apartment,Unfurnished,10,11,9245000.0
Jharkhand,Ranchi,Lalpur,761,1,2,2,2,Independent House,Unfurnished,11,27,4421000.0
Karnataka,Mysuru,Vijayanagar,474,3,4,2,8,Villa,Semi-Furnished,15,16,3218000.0
Gujarat,Ahmedabad,Satellite,1346,3,2,3,0,Independent House,Furnished,22,26,13216000.0
Odisha,Bhubaneswar,Saheed Nagar,605,4,4,1,12,Independent House,Unfurnished,2,18,3740000.0
Tamil Nadu,Chennai,Velachery,1252,2,3,1,18,Apartment,Unfurnished,22,23,8506000.0
Himachal Pradesh,Shimla,Sanjauli,1426,4,3,2,8,Apartment,Furnished,1,23,6866000.0
Haryana,Gurugram,Sector 49,1592,4,4,0,0,Apartment,Unfurnished,11,25,14181000.0
Bihar,Patna,Bailey Road,954,2,1,2,0,Apartment,Unfurnished,17,18,7976000.0
Puducherry,Puducherry City,Lawspet,350,3,4,3,12,Apartment,Semi-Furnished,6,24,1816000.0
Madhya Pradesh,Bhopal,Kolar Road,1172,3,2,2,0,Apartment,Furnished,21,22,5974000.0
Telangana,Hyderabad,Madhapur,849,2,1,3,12,Villa,Semi-Furnished,22,23,9729000.0
Arunachal Pradesh,Itanagar,Chandranagar,994,3,3,3,18,Apartment,Semi-Furnished,14,25,2478000.0
Maharashtra,Pune,Wakad,350,2,1,2,25,Builder Floor,Furnished,7,25,1814000.0
Andhra Pradesh,Vijayawada,Governorpet,701,2,2,1,12,Apartment,Unfurnished,15,16,3201000.0
Gujarat,Ahmedabad,Vastrapur,350,3,3,1,8,Apartment,Furnished,0,6,3106000.0
Puducherry,Puducherry City,Reddiarpalayam,991,2,3,2,12,Independent House,Semi-Furnished,5,28,5069000.0
Arunachal Pradesh,Itanagar,Naharlagun,1772,1,2,1,12,Apartment,Furnished,13,14,5928000.0
Assam,Guwahati,Beltola,1305,3,3,1,0,Villa,Unfurnished,18,19,9132000.0
Maharashtra,Nagpur,Civil Lines,1852,2,2,3,1,Builder Floor,Semi-Furnished,17,18,13290000.0
Chhattisgarh,Raipur,Civil Lines,1613,3,3,2,0,Builder Floor,Furnished,11,12,9839000.0
Uttarakhand,Dehradun,Vasant Vihar,854,4,4,1,12,Independent House,Unfurnished,13,14,5013000.0
Gujarat,Surat,Adajan,1248,4,4,1,1,Independent House,Semi-Furnished,2,17,8443000.0
West Bengal,Kolkata,Salt Lake,1077,5,6,2,25,Villa,Unfurnished,0,26,9226000.0
Uttarakhand,Dehradun,Race Course,1718,2,1,2,5,Builder Floor,Semi-Furnished,7,28,12523000.0
Puducherry,Puducherry City,White Town,2094,1,1,0,0,Builder Floor,Semi-Furnished,13,15,17246000.0
Chhattisgarh,Raipur,Civil Lines,415,3,4,1,0,Independent House,Unfurnished,23,24,2407000.0
Jammu and Kashmir,Jammu,Trikuta Nagar,2279,2,2,2,2,Independent House,Furnished,5,9,12899000.0
Jammu and Kashmir,Srinagar,Rajbagh,1716,2,3,3,1,Apartment,Semi-Furnished,19,20,14092000.0
Rajasthan,Udaipur,Hiran Magri,718,2,1,2,5,Apartment,Furnished,13,26,3899000.0
Chandigarh,Chandigarh City,Sector 21,928,1,1,0,18,Independent House,Semi-Furnished,8,18,7253000.0
Arunachal Pradesh,Itanagar,Ganga Market,1280,4,4,2,1,Builder Floor,Semi-Furnished,21,26,5324000.0
West Bengal,Kolkata,Park Street,1420,3,3,2,8,Independent House,Semi-Furnished,18,26,31148000.0
Puducherry,Puducherry City,Reddiarpalayam,1487,3,3,1,0,Independent House,Unfurnished,23,24,7693000.0
Madhya Pradesh,Indore,Palasia,579,3,2,1,2,Villa,Unfurnished,20,26,5464000.0
Goa,Margao,Borda,350,2,3,1,8,Apartment,Semi-Furnished,20,21,2049000.0
Maharashtra,Mumbai,Powai,1924,3,3,1,18,Apartment,Semi-Furnished,7,21,32813000.0
Chandigarh,Chandigarh City,Sector 21,1612,2,2,1,2,Builder Floor,Unfurnished,4,6,13351000.0
Jharkhand,Ranchi,Harmu,1498,3,4,1,8,Apartment,Semi-Furnished,24,25,7337000.0
Gujarat,Ahmedabad,Vastrapur,1644,2,3,1,5,Apartment,Unfurnished,9,10,13729000.0
Uttar Pradesh,Noida,Sector 62,1242,2,2,0,5,Independent House,Furnished,24,25,9882000.0
Gujarat,Ahmedabad,Vastrapur,1023,4,5,1,18,Independent House,Semi-Furnished,19,20,10510000.0
Manipur,Imphal,Lamphelpat,1226,4,3,2,2,Apartment,Unfurnished,0,17,3424000.0
Assam,Guwahati,Beltola,1276,4,4,1,8,Apartment,Semi-Furnished,22,23,6543000.0
Kerala,Kochi,Kakkanad,683,3,3,1,12,Apartment,Unfurnished,14,22,3822000.0
Haryana,Gurugram,Sector 49,1143,2,2,2,8,Apartment,Furnished,13,14,10731000.0
Haryana,Gurugram,Sohna Road,1539,4,5,2,1,Independent House,Furnished,5,9,12708000.0
Punjab,Chandigarh,Sector 22,1376,3,2,0,8,Villa,Furnished,18,19,19970000.0
Mizoram,Aizawl,Chanmari,999,4,3,0,8,Apartment,Unfurnished,11,26,3135000.0
Chandigarh,Chandigarh City,Sector 21,713,3,2,1,5,Apartment,Semi-Furnished,7,14,7350000.0
Maharashtra,Nagpur,Civil Lines,1201,3,4,1,5,Apartment,Unfurnished,11,12,8960000.0
Karnataka,Bengaluru,Hebbal,1762,3,4,1,12,Independent House,Semi-Furnished,20,23,15413000.0
Tamil Nadu,Coimbatore,Peelamedu,1061,4,4,1,5,Apartment,Unfurnished,3,16,5494000.0
Uttar Pradesh,Lucknow,Alambagh,656,4,4,1,1,Independent House,Unfurnished,12,13,3168000.0
Punjab,Chandigarh,Sector 35,1126,3,3,2,2,Apartment,Semi-Furnished,9,24,10431000.0
Haryana,Faridabad,Sector 15,747,4,5,0,8,Builder Floor,Semi-Furnished,21,22,4302000.0
Jammu and Kashmir,Srinagar,Jawahar Nagar,1518,2,1,2,18,Apartment,Unfurnished,4,5,6936000.0
Karnataka,Mysuru,Gokulam,1580,3,2,0,8,Apartment,Semi-Furnished,14,17,8933000.0
Telangana,Hyderabad,Gachibowli,1005,1,2,1,2,Apartment,Semi-Furnished,8,14,9785000.0
Manipur,Imphal,Thangal Bazar,1151,5,5,1,8,Apartment,Unfurnished,8,17,4470000.0
Goa,Margao,Borda,1512,2,2,1,8,Independent House,Unfurnished,0,27,9879000.0
Maharashtra,Pune,Hinjewadi,877,3,3,2,0,Independent House,Unfurnished,7,18,7197000.0
Maharashtra,Mumbai,Borivali,350,2,2,0,5,Apartment,Furnished,22,23,6088000.0
Arunachal Pradesh,Itanagar,Ganga Market,746,5,4,2,2,Apartment,Unfurnished,24,25,2841000.0
Chandigarh,Chandigarh City,Sector 44,1188,2,2,1,1,Builder Floor,Furnished,11,12,11241000.0
Uttar Pradesh,Kanpur,Civil Lines,843,2,3,2,1,Villa,Semi-Furnished,1,29,6680000.0
Chandigarh,Chandigarh City,Sector 9,1040,2,1,0,18,Independent House,Unfurnished,19,23,9894000.0
Kerala,Thiruvananthapuram,Kowdiar,1446,3,4,2,2,Builder Floor,Unfurnished,17,18,9927000.0
Haryana,Gurugram,Golf Course Road,1405,3,3,2,2,Apartment,Unfurnished,1,27,26323000.0
West Bengal,Kolkata,Howrah,1591,3,2,2,18,Apartment,Semi-Furnished,21,22,6856000.0
Uttarakhand,Dehradun,Vasant Vihar,1357,4,3,1,0,Apartment,Unfurnished,3,13,8391000.0
Assam,Guwahati,Beltola,1161,2,2,2,2,Builder Floor,Unfurnished,10,11,5871000.0
Madhya Pradesh,Indore,Rau,478,3,3,1,0,Builder Floor,Unfurnished,23,24,1833000.0
Nagaland,Kohima,Midland,809,2,3,0,5,Builder Floor,Furnished,6,28,3162000.0
Kerala,Kochi,Kakkanad,1469,4,4,0,18,Apartment,Unfurnished,6,27,6278000.0
Punjab,Ludhiana,Sarabha Nagar,475,2,1,0,5,Apartment,Unfurnished,14,21,3123000.0
Jammu and Kashmir,Jammu,Gandhi Nagar,653,3,2,0,2,Builder Floor,Furnished,12,13,4354000.0
Jammu and Kashmir,Jammu,Trikuta Nagar,1858,1,1,0,18,Apartment,Semi-Furnished,2,9,7376000.0
Jharkhand,Ranchi,Lalpur,1356,5,4,2,25,Villa,Unfurnished,0,10,6837000.0
Madhya Pradesh,Indore,Vijay Nagar,1644,4,4,2,18,Independent House,Semi-Furnished,22,24,8568000.0
Maharashtra,Pune,Koregaon Park,1248,3,2,0,12,Independent House,Furnished,2,24,19945000.0
Chhattisgarh,Raipur,Civil Lines,459,2,2,3,12,Apartment,Unfurnished,4,22,1847000.0
Rajasthan,Udaipur,Fatehpura,1130,1,2,3,2,Villa,Semi-Furnished,1,15,9552000.0
Karnataka,Mysuru,Vijayanagar,726,1,1,1,0,Builder Floor,Semi-Furnished,11,27,3529000.0
Andhra Pradesh,Visakhapatnam,Madhurawada,2000,3,4,2,1,Apartment,Unfurnished,17,23,12083000.0
Madhya Pradesh,Indore,Palasia,350,2,3,1,1,Apartment,Furnished,23,24,3005000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,1367,4,3,1,8,Apartment,Furnished,13,14,6865000.0
Delhi,New Delhi,Karol Bagh,1818,2,3,0,1,Apartment,Semi-Furnished,17,18,27940000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,1471,3,2,2,8,Apartment,Unfurnished,6,12,6398000.0
Telangana,Hyderabad,Kondapur,1101,2,2,0,2,Independent House,Furnished,7,8,11056000.0
Maharashtra,Mumbai,Bandra,880,3,4,2,8,Independent House,Unfurnished,8,20,30345000.0
Odisha,Bhubaneswar,Saheed Nagar,1327,4,4,1,25,Apartment,Unfurnished,18,23,6313000.0
Maharashtra,Pune,Hinjewadi,750,3,4,1,1,Independent House,Unfurnished,6,21,5150000.0
Himachal Pradesh,Shimla,Mall Road,983,2,1,1,5,Independent House,Unfurnished,15,26,9398000.0
Kerala,Thiruvananthapuram,Kowdiar,1065,3,3,2,2,Villa,Semi-Furnished,13,19,11057000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,1787,5,4,2,5,Apartment,Unfurnished,22,23,9213000.0
Puducherry,Puducherry City,Lawspet,879,4,4,3,18,Independent House,Unfurnished,3,20,4378000.0
Karnataka,Bengaluru,Electronic City,1075,4,4,2,25,Apartment,Semi-Furnished,9,18,4872000.0
Andhra Pradesh,Visakhapatnam,Dwaraka Nagar,909,3,2,2,0,Builder Floor,Unfurnished,4,29,5280000.0
Maharashtra,Mumbai,Bandra,1482,3,2,2,8,Apartment,Furnished,2,3,47191000.0
Goa,Margao,Borda,1695,2,3,0,5,Builder Floor,Semi-Furnished,20,24,11289000.0
Telangana,Hyderabad,Gachibowli,675,4,4,1,12,Apartment,Semi-Furnished,11,12,5096000.0
Karnataka,Bengaluru,Koramangala,1779,2,2,1,5,Builder Floor,Unfurnished,23,24,25364000.0
Andaman and Nicobar Islands,Port Blair,Aberdeen Bazaar,1837,4,4,2,25,Apartment,Semi-Furnished,4,24,7194000.0
Karnataka,Mysuru,Vijayanagar,1456,3,2,1,0,Independent House,Unfurnished,24,25,7715000.0
Odisha,Bhubaneswar,Saheed Nagar,1759,1,1,1,8,Villa,Semi-Furnished,1,6,17440000.0
Sikkim,Gangtok,MG Marg,503,5,6,1,1,Builder Floor,Semi-Furnished,6,22,4583000.0
Maharashtra,Nagpur,Wardha Road,1211,4,4,3,12,Apartment,Unfurnished,20,21,5623000.0
West Bengal,Kolkata,Park Street,1637,1,2,2,18,Builder Floor,Unfurnished,8,9,24431000.0
Madhya Pradesh,Indore,Vijay Nagar,1401,3,4,1,18,Apartment,Semi-Furnished,5,7,8037000.0
Goa,Margao,Fatorda,965,4,4,1,2,Apartment,Unfurnished,8,9,7325000.0
Odisha,Bhubaneswar,Patia,1777,2,2,1,1,Independent House,Semi-Furnished,6,16,9937000.0
Delhi,New Delhi,Vasant Vihar,1633,2,2,0,2,Apartment,Furnished,15,16,52291000.0
Tamil Nadu,Chennai,T Nagar,2334,1,2,0,12,Apartment,Furnished,12,23,29797000.0
Goa,Panaji,Dona Paula,692,5,5,1,1,Apartment,Semi-Furnished,0,4,10058000.0
Gujarat,Ahmedabad,Satellite,923,2,2,1,18,Villa,Semi-Furnished,18,28,8380000.0
Uttar Pradesh,Kanpur,Civil Lines,1924,3,2,1,12,Builder Floor,Semi-Furnished,15,21,9197000.0
Haryana,Gurugram,Sector 49,835,3,2,1,8,Independent House,Furnished,14,27,6698000.0
Haryana,Gurugram,Sohna Road,1404,2,3,0,8,Apartment,Semi-Furnished,0,8,8356000.0
Odisha,Bhubaneswar,Chandrasekharpur,1076,4,4,1,2,Apartment,Unfurnished,13,20,5127000.0
Chandigarh,Chandigarh City,Sector 9,1090,4,5,2,2,Builder Floor,Semi-Furnished,22,27,14345000.0
Punjab,Ludhiana,Model Town,350,2,1,1,5,Builder Floor,Unfurnished,19,20,1848000.0
Gujarat,Ahmedabad,Satellite,976,5,5,2,2,Builder Floor,Semi-Furnished,8,28,7456000.0
Maharashtra,Pune,Viman Nagar,1751,3,2,1,18,Apartment,Semi-Furnished,3,8,16205000.0
Gujarat,Surat,Vesu,1247,2,2,1,2,Apartment,Semi-Furnished,3,27,8593000.0
Maharashtra,Mumbai,Dadar,541,5,5,0,2,Villa,Unfurnished,2,11,16779000.0
Maharashtra,Mumbai,Bandra,1394,3,4,2,8,Apartment,Unfurnished,8,9,48595000.0
Haryana,Gurugram,Golf Course Road,1559,2,3,3,5,Apartment,Unfurnished,19,29,32188000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,2086,3,2,2,8,Apartment,Unfurnished,11,13,10542000.0
Maharashtra,Mumbai,Borivali,1433,3,3,3,2,Apartment,Furnished,17,18,26561000.0
Madhya Pradesh,Bhopal,Arera Colony,863,2,3,1,5,Apartment,Semi-Furnished,13,14,5136000.0
Nagaland,Kohima,Dimapur Road,1245,1,1,0,12,Villa,Unfurnished,6,21,3904000.0
Madhya Pradesh,Bhopal,MP Nagar,920,2,3,0,8,Apartment,Unfurnished,6,23,5336000.0
Jharkhand,Ranchi,Harmu,1164,4,3,1,5,Apartment,Furnished,20,21,5962000.0
Assam,Guwahati,Beltola,540,3,4,2,0,Independent House,Unfurnished,12,15,3243000.0
Nagaland,Kohima,Dimapur Road,810,2,2,2,1,Independent House,Semi-Furnished,16,17,2997000.0
Maharashtra,Nagpur,Wardha Road,1076,5,5,2,8,Builder Floor,Semi-Furnished,13,18,5342000.0
Karnataka,Mysuru,Kuvempunagar,1313,4,5,2,12,Apartment,Furnished,7,8,7275000.0
Mizoram,Aizawl,Dawrpui,1374,3,3,1,0,Apartment,Semi-Furnished,24,25,6499000.0
Lakshadweep,Kavaratti,Kavaratti Town,1733,3,3,1,0,Apartment,Furnished,11,12,8155000.0
Haryana,Gurugram,DLF Phase 1,1358,4,4,0,18,Apartment,Unfurnished,21,22,15553000.0
Uttarakhand,Dehradun,Race Course,657,2,1,2,0,Villa,Furnished,18,29,8157000.0
Puducherry,Puducherry City,Lawspet,423,1,1,1,1,Villa,Semi-Furnished,15,20,4094000.0
Maharashtra,Mumbai,Andheri,1215,2,2,0,0,Apartment,Unfurnished,17,18,27951000.0
Madhya Pradesh,Indore,Palasia,1177,2,2,0,25,Apartment,Furnished,3,18,5547000.0
Tripura,Agartala,Akhaura Road,1311,2,1,1,5,Apartment,Unfurnished,16,17,4143000.0
Telangana,Hyderabad,Banjara Hills,1550,3,3,2,12,Apartment,Semi-Furnished,11,21,25167000.0
Karnataka,Bengaluru,Whitefield,1293,2,2,0,5,Independent House,Semi-Furnished,18,29,12312000.0
Chhattisgarh,Raipur,Civil Lines,703,2,3,2,2,Apartment,Unfurnished,16,17,3979000.0
Uttar Pradesh,Noida,Sector 62,1339,3,4,0,12,Apartment,Unfurnished,23,24,9642000.0
Karnataka,Bengaluru,Indiranagar,1210,1,2,2,8,Apartment,Unfurnished,0,24,16325000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,1332,3,3,2,18,Apartment,Unfurnished,14,15,4030000.0
Andhra Pradesh,Vijayawada,Benz Circle,1141,5,6,2,5,Villa,Furnished,18,19,10529000.0
Maharashtra,Mumbai,Borivali,1526,3,3,2,12,Builder Floor,Unfurnished,2,22,15091000.0
Jammu and Kashmir,Jammu,Gandhi Nagar,974,2,2,1,12,Apartment,Semi-Furnished,2,19,4931000.0
Tripura,Agartala,Banamalipur,1724,2,2,0,5,Independent House,Unfurnished,12,13,7055000.0
Jammu and Kashmir,Srinagar,Rajbagh,1583,4,5,2,1,Apartment,Semi-Furnished,13,14,13037000.0
Tamil Nadu,Chennai,OMR,1458,3,2,3,0,Builder Floor,Semi-Furnished,15,16,9423000.0
Puducherry,Puducherry City,White Town,2000,3,4,0,12,Independent House,Unfurnished,1,7,17493000.0
Jammu and Kashmir,Srinagar,Rajbagh,766,2,2,1,5,Apartment,Semi-Furnished,20,21,5137000.0
Goa,Panaji,Dona Paula,976,3,3,2,5,Apartment,Semi-Furnished,7,22,11447000.0
Kerala,Kochi,Kakkanad,1433,3,3,2,12,Independent House,Semi-Furnished,12,27,10065000.0
Arunachal Pradesh,Itanagar,Ganga Market,1185,2,2,2,12,Apartment,Unfurnished,24,25,3423000.0
Rajasthan,Jaipur,Malviya Nagar,1019,4,3,1,25,Apartment,Furnished,24,25,4990000.0
Tamil Nadu,Coimbatore,Peelamedu,1600,2,3,3,25,Apartment,Unfurnished,23,24,6323000.0
